Wing Version,Voltage - Power Supply (V),Toy Prop Thrust
Toy Prop ,2,0.52
,2.5,0.82
,3,1.53
,3.5,1.69
Toy Prop Sized W1_35,2,1.25
,2.5,1.7
,3,2.15
,3.5,2.67
W1_15 shrouded ,2,0.123
,2.5,0.125
,3,0.132
,3.5,0.191
W1_0,2,1.19
,2.5,1.57
,3,1.96
,3.5,2.24
W1_5,2,0.52
,2.5,0.64
,3,0.75
,3.5,0.85
W1_10,2,0.63
,2.5,0.332
,3,0.347
,3.5,0.369
W1_15,2,0.12
,2.5,0.146
,3,0.024
,3.5,0.1
W1_20,2,0.5
,2.5,0.9
,3,1.2
,3.5,1.2
W1_25,2,1.38
,2.5,1.77
,3,2.3
,3.5,2.7
W1_30,2,1.41
,2.5,2.04
,3,2.58
,3.5,3.07
W1_35,2,1.6
,2.5,2
,3,2.7
,3.5,3.1
W1_40,2,1.4
,2.5,1.6
,3,1.9
,3.5,2.3
W1_45,2,1.1
,2.5,1.83
,3,2
,3.5,2.01
W2_0,2,0.58
,2.5,0.56
,3,0.63
,3.5,0.57
W2_5,2,0.26
,2.5,0.18
,3,0.21
,3.5,0.28
W2_10,2,0.47
,2.5,0.72
,3,0.92
,3.5,1.14
W2_15,2,1.04
,2.5,1.52
,3,1.88
,3.5,2.23
W2_20,2,1.03
,2.5,1.93
,3,2.65
,3.5,3.01
W2_25,2,1.25
,2.5,1.38
,3,1.9
,3.5,2.51
W2_30,2,1.34
,2.5,1.58
,3,2.05
,3.5,2.5
W2_35,2,1.23
,2.5,1.55
,3,1.83
,3.5,2.01
W2_40,2,0.91
,2.5,1.25
,3,1.41
,3.5,1.78
W2_45,2,0.82
,2.5,1.04
,3,1.32
,3.5,1.54
W3_0,2,0
,2.5,0
,3,0
,3.5,0
W3_5,2,0.203
,2.5,0.11
,3,0.23
,3.5,0.34
W3_10,2,0.61
,2.5,0.84
,3,1.01
,3.5,1.45
W3_15,2,0
,2.5,0
,3,0
,3.5,0
W3_20,2,1.12
,2.5,1.43
,3,1.78
,3.5,2.31
W3_25,2,0.92
,2.5,1.32
,3,1.51
,3.5,1.55
W3_30,2,0.86
,2.5,1.37
,3,1.51
,3.5,1.57
W3_35,2,0.78
,2.5,1.06
,3,1.27
,3.5,1.5
W3_40,2,0.48
,2.5,0.97
,3,1.07
,3.5,1.33
W3_45,2,0.62
,2.5,0.75
,3,0.94
,3.5,1.01
W4_0,2,0.25
,2.5,0.412
,3,0.53
,3.5,0.64
W4_5,2,0.05
,2.5,0.07
,3,0.074
,3.5,0.06
W4_10,2,0.096
,2.5,0.12
,3,0.185
,3.5,1.78
W4_15,2,0.13
,2.5,0.37
,3,0.48
,3.5,0.54
W4_20,2,0.65
,2.5,1.2
,3,0.78
,3.5,0.83
W4_25,2,0.71
,2.5,1.1
,3,1.2
,3.5,1.25
W4_30,2,1.35
,2.5,1.45
,3,1.53
,3.5,1.83
W4_35,2,1.25
,2.5,0.94
,3,1.26
,3.5,2.1
W4_40,2,1.27
,2.5,1.35
,3,1.26
,3.5,1.5
W4_45,2,1.23
,2.5,1.13
,3,1.19
,3.5,1.85
W5_0,2,0
,2.5,0
,3,0.73
,3.5,0.082
W5_5,2,0.63
,2.5,0.465
,3,0.64
,3.5,0.85
W5_10,2,1.95
,2.5,2.2
,3,2.7
,3.5,3.2
W5_15,2,2.4
,2.5,3.3
,3,3.6
,3.5,4.4
W5_20,2,2.2
,2.5,2.6
,3,3.5
,3.5,4.4
W5_25,2,2.07
,2.5,2.4
,3,2.9
,3.5,3.2
W5_30,2,1.74
,2.5,2.2
,3,2.6
,3.5,2.95
W5_35,2,1.7
,2.5,1.76
,3,1.92
,3.5,2.21
W5_40,2,1.66
,2.5,1.54
,3,1.95
,3.5,2.1
W5_45,2,1.1
,2.5,1.42
,3,1.43
,3.5,1.72
W6_0,2,1.2
,2.5,1.93
,3,2.53
,3.5,3.05
W6_5,2,0.97
,2.5,1.35
,3,1.74
,3.5,2.01
W6_10,2,0.17
,2.5,0.33
,3,0.64
,3.5,0.45
W6_15,2,0.21
,2.5,0.188
,3,0.262
,3.5,0.295
W6_20,2,0.91
,2.5,0.04
,3,0.05
,3.5,0.06
W6_25,2,0.06
,2.5,0.08
,3,0.095
,3.5,0.11
W7_15,2,0
,2.5,0
,3,2.82
,3.5,3.2
W7_20,2,0
,2.5,0
,3,3.1
,3.5,3.8
W7_25,2,0
,2.5,0
,3,3.05
,3.5,3.4
W7_30,2,0
,2.5,0
,3,2.45
,3.5,2.6
W8_20,2,0
,2.5,0
,3,1.94
,3.5,2.21
W8_25,2,0
,2.5,0
,3,2.21
,3.5,2.56
W8_30,2,0
,2.5,0
,3,2.5
,3.5,2.95
W8_35,2,0
,2.5,0
,3,3.01
,3.5,3.25
W8_40,2,0
,2.5,0
,3,2.45
,3.5,2.8
W9_15,2,0
,2.5,0
,3,1.2
,3.5,1.5
W9_20,2,0
,2.5,0
,3,2.43
,3.5,3.18
W9_25,2,0
,2.5,0
,3,2.72
,3.5,3.29
W9_30,2,0
,2.5,0
,3,2.68
,3.5,3.09
W9_35,2,0
,2.5,0
,3,2.5
,3.5,2.94
